Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2
Chota Jadugar,-2003.0,99 min,Fantasy,3.1,102,Jose Punnoose,Sooraj Balaji,S.P. Balasubrahmanyam
Chote Nawab,-2020.0,108 min,Drama,6.1,7,Kumud Chaudhary,Tulika Banerjee,Plabita Borthakur
Chousar Firangi,-2019.0,95 min,"Comedy, Drama",6.8,85,Sandeep Pandey,Prateek Pachauri,Rekha Mishra
Chowkidar,-1974.0,135 min,Drama,5.3,22,Shyam Ralhan,Sanjeev Kumar,Yogeeta Bali
Chudail,-1997.0,98 min,Horror,4.9,10,P. Chandrakumar,Kiran Kumar,Poonam Dasgupta
Chudail Story,-2016.0,100 min,"Horror, Thriller",2.4,142,Surya Lakkoju,Preeti Soni,Amal Sherawat
Chup Chup Ke,-2006.0,164 min,"Comedy, Drama, Romance",6.8,"9,171",Priyadarshan,Kookie Gulati,Shahid Kapoor
Chupke Chupke,-1975.0,146 min,"Comedy, Drama, Romance",8.3,"11,923",Hrishikesh Mukherjee,Dharmendra,Sharmila Tagore
Chupke Se,-2003.0,164 min,"Comedy, Musical, Romance",5.4,112,Shona Urvashi,Zulfi Sayed,Masumeh Makhija
Chura Liyaa Hai Tumne,-2003.0,143 min,"Action, Drama, Mystery",3.7,463,Sangeeth Sivan,Zayed Khan,Esha Deol
Cinderella,-2015.0,113 min,Fantasy,6.7,9,Kiran Nakti,Mangesh Desai,Vinit Bonde
City Lights,-2014.0,126 min,"Drama, Thriller",7.4,"4,828",Hansal Mehta,Rajkummar Rao,Patralekhaa Paul
City of Gold - Mumbai 1982: Ek Ankahee Kahani,-2010.0,145 min,"Crime, Drama",6.8,355,Mahesh Manjrekar,Sachin Khedekar,Seema Biswas
Class of '83,-2020.0,98 min,"Action, Crime, Drama",5.8,"5,084",Atul Sabharwal,Bobby Deol,Anup Soni
Clerk,-1989.0,165 min,"Action, Crime, Drama",2.3,126,Manoj Kumar,Manoj Kumar,Ashok Kumar
Click,-2010.0,127 min,"Drama, Horror, Mystery",3.5,317,Sangeeth Sivan,Shreyas Talpade,Sada
Club 60,-2013.0,137 min,Drama,7.3,433,Sanjay Tripathy,Farooq Shaikh,Sarika
Club Dancer,-2016.0,125 min,"Action, Musical, Thriller",6.9,17,B. Prasad,Rajbeer Singh,Nish
Cocktail,-2012.0,146 min,"Comedy, Drama, Romance",6.3,"13,486",Homi Adajania,Saif Ali Khan,Deepika Padukone
Coffee Bloom,-2015.0,90 min,Drama,5.9,101,Manu Warrier,Arjun Mathur,Sugandha Garg
Colours of Passion,-2008.0,132 min,"Biography, Drama, Romance",7.0,"1,827",Ketan Mehta,Randeep Hooda,Nandana Sen
Come December,-2006.0,92 min,Drama,5.6,58,Faisal Saif,Arun Bakshi,Hayley Cleghorn
Comedy Couple,-2020.0,117 min,"Comedy, Romance",7.7,"1,662",Nachiket Samant,Saqib Saleem,Shweta Basu Prasad
Commando,-1988.0,149 min,"Action, Drama, Romance",4.2,171,Babbar Subhash,Mithun Chakraborty,Mandakini
Commando,-2013.0,124 min,"Action, Adventure, Thriller",6.2,"4,757",Dilip Ghosh,Vidyut Jammwal,Hsieh Chang Hai
Commando 2,-2017.0,144 min,"Action, Adventure, Thriller",5.3,"3,015",Deven Bhojani,Vidyut Jammwal,Adah Sharma
Commando 3,-2019.0,133 min,"Action, Adventure, Thriller",5.7,"2,425",Aditya Datt,Vidyut Jammwal,Adah Sharma
Company,-2002.0,142 min,"Action, Crime, Drama",7.9,"14,795",Ram Gopal Varma,Ajay Devgn,Mohanlal
Compulsed,-1974.0,155 min,"Drama, Mystery, Thriller",7.1,668,Ravi Tandon,Amitabh Bachchan,Parveen Babi
Congregation,-1986.0,140 min,Drama,6.5,15,Muzaffar Ali,Shabana Azmi,Farooq Shaikh
Consequence Karma,-2021.0,92 min,"Drama, Thriller",9.0,223,Shadab Ahmad,Sidharth Bhardwaj,Monis Khan
Contract,-2008.0,117 min,"Action, Crime, Drama",4.0,230,Ram Gopal Varma,Adhvik Mahajan,Sakshi Gulati
Cookie,-2020.0,104 min,Horror,6.2,191,Lalit Marathe,Nabeel Ahmed,Amit Ashar
Cooking with Stella,-2009.0,104 min,"Comedy, Drama",5.4,282,Dilip Mehta,Seema Biswas,Don McKellar
Coolie,-1983.0,177 min,"Action, Comedy, Drama",6.6,"2,123",Manmohan Desai,Prayag Raj,Amitabh Bachchan
Coolie No. 1,-1995.0,143 min,"Action, Comedy, Romance",6.6,"4,843",David Dhawan,Govinda,Karisma Kapoor
Coolie No. 1,-1991.0,146 min,"Action, Drama, Romance",6.7,678,K. Raghavendra Rao,Venkatesh Daggubati,Tabu
Coolie No. 1,-2020.0,134 min,"Action, Comedy, Romance",2.9,"56,232",David Dhawan,Varun Dhawan,Sara Ali Khan
Corporate,-2006.0,142 min,Drama,6.5,"1,957",Madhur Bhandarkar,Bipasha Basu,Kay Kay Menon
Courage,-1992.0,161 min,"Action, Drama, Romance",4.8,787,Farogh Siddique,Ajay Devgn,Karisma Kapoor
Court,-2014.0,116 min,Drama,7.7,"4,338",Chaitanya Tamhane,Vira Sathidar,Vivek Gomber
Court Martial,-2020.0,120 min,Drama,6.8,179,Sourabh Shrivastava,Karwarkar Bhavika,Saksham Dayma
Cover Story,-2000.0,140 min,Thriller,5.3,105,G.S. Vijayan,Suresh Gopi,Joemon Joshy
Crazy Mad Lover,-2011.0,163 min,"Action, Comedy, Drama",5.6,"4,059",Samir Karnik,Nafisa Ali,Yugesh Anil
Crd,-2016.0,108 min,"Drama, Romance",6.2,119,Kranti Kanadé,Mrinmayee Godbole,Isha Keskar
Creature,-2014.0,134 min,"Action, Horror, Sci-Fi",3.1,"1,308",Vikram Bhatt,Bipasha Basu,Imran Abbas
Criminal,-1994.0,123 min,"Action, Romance, Thriller",5.7,450,Mahesh Bhatt,Nagarjuna Akkineni,Manisha Koirala
Crook: It's Good to Be Bad,-2010.0,121 min,"Action, Drama, Thriller",5.1,"1,965",Mohit Suri,Emraan Hashmi,Neha Sharma
Cryptic Road,-2016.0,84 min,"Mystery, Sci-Fi, Thriller",7.3,23,Moosa Saleem,Hardik Kapadia,Vijay Ashok Sharma
Current,-1992.0,119 min,Drama,6.9,54,K. Hariharan,Om Puri,Deepti Naval
Cycle Kick,-2011.0,86 min,"Drama, Sport",6.1,100,Shashi Sudigala,Nishan Nanaiah,Sunny Hinduja
Cypher,-2019.0,130 min,"Biography, Family",8.3,29,Sagar Pathak,Kirti Adarkar,Aarya Adhav
D,-2005.0,107 min,"Crime, Drama, Thriller",6.8,"1,188",Vishram Sawant,Randeep Hooda,Chunky Panday
D Company,-2021.0,91 min,"Action, Crime, Thriller",4.4,218,Ram Gopal Varma,Sandeep Bose,Abhilash Chaudhary
Daadagiri,-1997.0,138 min,"Drama, Action, Comedy",4.6,30,Arshad Khan,Ayub Khan,Ritu Parna
Daadi Maa,-1966.0,171 min,"Action, Comedy, Drama",6.2,20,L.V. Prasad,Ashok Kumar,Bina Rai
Daaera,-1953.0,139 min,Drama,6.5,32,Kamal Amrohi,Meena Kumari,Nasir Khan
Daag,-1952.0,149 min,"Drama, Romance",7.0,159,Amiya Chakrabarty,Dilip Kumar,Nimmi
Daag: A Poem of Love,-1973.0,146 min,"Drama, Music, Romance",7.0,438,Yash Chopra,Rajesh Khanna,Sharmila Tagore
Daag: The Fire,-1999.0,152 min,"Action, Drama, Thriller",4.8,670,Raj Kanwar,Sanjay Dutt,Chandrachur Singh
Daal Me Kala,-1964.0,128 min,"Comedy, Drama",6.0,21,Satyen Bose,Nimmi,Kishore Kumar
Daal Mein Kuch Kaala Hai,-2012.0,130 min,Comedy,3.9,75,Anand Balraj,Anand Balraj,Sudesh Berry
Daas,-2005.0,163 min,"Action, Romance",3.1,115,Babu Yogeswaran,Vadivelu,Fefsi Vijayan
Daas Dev,-2018.0,140 min,"Drama, Thriller",5.1,257,Sudhir Mishra,Yogesh Raj Mishra,Rahul Bhatt
Daava,-1997.0,145 min,"Action, Drama, Romance",4.5,571,Sunil Agnihotri,Naseeruddin Shah,Akshay Kumar
Daawat-e-Biryani,-2019.0,89 min,Drama,7.1,22,Aditi Roy,Jayant Kripalani,Sauraseni Maitra
Daawat-e-Ishq,-2014.0,118 min,"Comedy, Drama, Romance",6.1,"5,500",Habib Faisal,Aditya Roy Kapoor,Parineeti Chopra
Daayen Ya Baayen,-2010.0,115 min,"Comedy, Drama, Family",6.3,146,Bela Negi,Deepak Dobriyal,Manav Kaul
Dabangg,-2010.0,126 min,"Action, Comedy, Crime",6.2,"30,194",Abhinav Kashyap,Salman Khan,Sonakshi Sinha
Dabangg 2,-2012.0,120 min,"Action, Comedy, Crime",4.8,"16,920",Arbaaz Khan,Salman Khan,Sonakshi Sinha
Dabangg 3,-2019.0,160 min,"Action, Comedy, Crime",3.0,"15,817",Prabhu Deva,Salman Khan,Sudeep
Dacait,-1987.0,158 min,"Action, Drama",6.5,270,Rahul Rawail,Rakhee Gulzar,Sunny Deol
Dada,-1979.0,137 min,"Action, Drama, Family",5.0,24,Jugal Kishore,Vinod Mehra,Bindiya Goswami
Dada,-1999.0,133 min,Action,4.8,30,T.L.V. Prasad,Ishrat Ali,Arjun
Dadar Kirti,-1980.0,154 min,"Comedy, Drama",7.2,191,Tarun Majumdar,Tapas Pal,Ayan Banerjee
Daddy,-2017.0,134 min,"Action, Biography, Crime",6.4,"1,886",Ashim Ahluwalia,Arjun Rampal,Aishwarya Rajesh
Daddy Cool: Join the Fun,-2009.0,102 min,"Comedy, Drama",3.8,362,K. Muralimohana Rao,Sunil Shetty,Aarti Chhabria
Daddy's Daughter,-2017.0,97 min,Drama,7.7,40,Abhimanyu Chauhan,Mithilesh Chaturvedi,Farheen Khan
Dafaa 302: Indian Penal Code Section 302 (Section of Murder),-1975.0,118 min,"Drama, Mystery",4.9,7,K. Shrivastava,Randhir Kapoor,Rekha
Dagadi Chaawl,-2015.0,120 min,"Action, Crime, Drama",6.2,180,Chandrakant Kanse,Ankush Chaudhari,Makrand Deshpande
Dahan,-1998.0,145 min,Drama,7.4,285,Rituparno Ghosh,Shakuntala Barua,Chandni
Dahej,-1950.0,149 min,Drama,6.3,15,Shantaram Rajaram Vankudre,Mumtaz Begum,Karan Dewan
Dahek: A Burning Passion,-1999.0,155 min,"Drama, Romance, Thriller",5.5,189,Lateef Binny,Sonali Bendre,Danny Denzongpa
Dahleez,-1986.0,161 min,"Action, Drama",5.3,50,Ravi Chopra,Jackie Shroff,Raj Babbar
Daku Aur Mahatma,-1977.0,127 min,"Action, Drama",4.7,7,Ravikant Nagaich,Rajendra Kumar,Reena Roy
Daku Ganga Jamuna,-2000.0,93 min,"Action, Adventure, Crime",3.9,7,Kanti Shah,Sapna Sappu,Amit Pachori
Daku Kali Bhawani,-2000.0,120 min,Action,3.8,5,S.R. Pratap,Dharmendra,Milind Gunaji
Daku Ramkali,-2000.0,134 min,"Adventure, Drama, Musical",5.0,17,Kanti Shah,Sapna Sappu,Jay Thakur
Dalaal,-1993.0,160 min,"Action, Drama",4.9,105,Partho Ghosh,Mithun Chakraborty,Ayesha Jhulka
Dam999,-2011.0,108 min,"Adventure, Drama, Sci-Fi",3.3,980,Sohan Roy,Vinay Rai,Joshua Fredric Smith
Damaad,-1978.0,110 min,Comedy,7.0,52,Rajat Rakshit,Amol Palekar,Ranjeeta Kaur
Damadamm!,-2011.0,122 min,"Comedy, Drama, Romance",4.0,406,Swapna Joshi,Himesh Reshammiya,Sonal Sehgal
Damini,-1993.0,175 min,"Crime, Drama",7.8,"3,185",Rajkumar Santoshi,Meenakshi Sheshadri,Rishi Kapoor
Damul,-1985.0,106 min,Drama,6.7,127,Prakash Jha,Manohar Singh,Annu Kapoor
Dance Dance,-1987.0,153 min,"Action, Drama, Musical",6.1,267,Babbar Subhash,Mithun Chakraborty,Smita Patil
Dance of the Wind,-1997.0,85 min,"Drama, Music",6.6,128,Rajan Khosa,Ami Arora,Roshan Bano
Dance Party,-1995.0,124 min,"Family, Music, Romance",2.6,25,Deepak Balraj Vij,Raman Trikha,Raymon Singh
Dancer,-1991.0,150 min,"Action, Drama, Musical",3.9,613,Kishore Vyas,Akshay Kumar,Kirti Singh
Dand Nayak,-1998.0,153 min,Action,3.7,24,Sikander Bharti,Arjun,Arun Bakshi
Dangal,-2016.0,161 min,"Action, Biography, Drama",8.4,"165,074",Nitesh Tiwari,Aamir Khan,Sakshi Tanwar
Dangerous Ishq,-2012.0,130 min,"Fantasy, Mystery, Romance",3.9,847,Vikram Bhatt,Karisma Kapoor,Rajniesh Duggall
Dank,-2019.0,108 min,"Horror, Thriller",5.7,19,Pushkar Manohar,Sharad Ponkshe,Smita Shewale
Dansh,-2005.0,103 min,Drama,7.0,65,Kamika Verma,Kanika Verma,Kay Kay Menon
Dansh,-2018.0,85 min,Drama,8.3,9,Balmukund Tripathi,Abhishek Brahmachari,Ajay Dubey
Daraar,-1996.0,105 min,"Action, Drama, Romance",5.4,506,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Rishi Kapoor
Darbaan,-2020.0,145 min,Drama,7.5,727,Bipin Nadkarni,Sharib Hashmi,Sharad Kelkar
Darbar,-2020.0,159 min,"Action, Thriller",6.1,"5,175",A.R. Murugadoss,Rajinikanth,Nayanthara
Dard Ka Rishta,-1982.0,152 min,Drama,7.0,64,Sunil Dutt,Sunil Dutt,Reena Roy
Darinda,-2005.0,76 min,Horror,5.2,8,Kanti Shah,Anil Nagrath,Sapna Sappu
Dariya Dil,-1988.0,146 min,Drama,5.1,191,K. Ravi Shankar,Govinda,Kimi Katkar
Darklight,-2019.0,113 min,Drama,6.5,8,Mayur Hardas,Chandni,Raj Arjun
Darkness Visible,-2019.0,107 min,Thriller,5.6,329,Neil Biswas,Seema Biswas,Sayani Gupta
Darling,-2007.0,128 min,"Drama, Horror, Romance",3.8,589,Ram Gopal Varma,Fardeen Khan,Esha Deol
Darmiyaan: In Between,-1997.0,128 min,Drama,7.2,62,Kalpana Lajmi,Kirron Kher,Arif Zakaria
Darna Mana Hai,-2003.0,121 min,Horror,6.3,"3,207",Prawaal Raman,Saif Ali Khan,Sameera Reddy
Darna Zaroori Hai,-2006.0,108 min,Horror,5.4,"1,962",J.D. Chakravarthi,Manish Gupta,Sajid Khan
Darogaji,-1949.0,123 min,"Crime, Drama, Romance",7.7,9,Akhtar Hussein,Nargis,Paidi Jairaj
Darpan,-1970.0,140 min,"Drama, Family",7.1,37,Adurthi Subba Rao,Sunil Dutt,Waheeda Rehman
Darr,-1993.0,178 min,"Action, Drama, Romance",7.8,"22,635",Yash Chopra,Juhi Chawla,Sunny Deol
Darr @ the Mall,-2014.0,124 min,"Horror, Thriller",4.9,936,Pawan Kripalani,Jimmy Sheirgill,Nushrat Bharucha
Darwaza,-1978.0,117 min,Horror,6.0,89,Shyam Ramsay,Tulsi Ramsay,Anil Dhawan
Darwaza,-2002.0,84 min,Horror,4.3,50,Kanti Shah,Arun Mathur,Anil Nagrath
Darwaza Bandh Rakho,-2006.0,106 min,"Comedy, Crime, Drama",5.3,337,J.D. Chakravarthi,Ishrat Ali,Abhay Bhargava
Dashavatar,-2008.0,119 min,"Animation, Family",6.4,110,Bhavik Thakore,Vinay Apte,Kenneth Desai
Dassehra,-2018.0,131 min,"Action, Thriller",3.8,316,Manish Vatssalya,Saurabh Choudhary,Neil Nitin Mukesh
Dastaan,-1972.0,173 min,"Comedy, Drama, Thriller",6.9,122,B.R. Chopra,Dilip Kumar,Sharmila Tagore
Dastak,-1996.0,141 min,"Drama, Romance",4.7,293,Mahesh Bhatt,Sushmita Sen,Mukul Dev
Dastak,-1970.0,145 min,Drama,7.1,122,Rajinder Singh Bedi,Sanjeev Kumar,Rehana Sultan
Dastan,-1950.0,122 min,"Drama, Family, Romance",6.8,61,Abdul Rashid Kardar,Suraiya,Raj Kapoor
Dasvidaniya,-2008.0,113 min,"Comedy, Drama",7.8,"6,140",Shashant Shah,Vinay Pathak,Sarita Joshi
Dattak,-2001.0,125 min,Drama,7.4,57,Gul Bahar Singh,Rajit Kapoor,Anjan Srivastav
Daud: Fun on the Run,-1997.0,180 min,"Action, Adventure, Comedy",5.9,"1,006",Ram Gopal Varma,Sanjay Dutt,Urmila Matondkar
Daulat,-1982.0,150 min,"Action, Crime, Drama",6.1,35,Mohan Segal,Vinod Khanna,Zeenat Aman
Daulat Ki Jung,-1992.0,143 min,"Action, Adventure, Romance",5.7,834,S.A. Kader,Aamir Khan,Juhi Chawla
David,-2013.0,155 min,"Action, Crime, Drama",6.2,"2,608",Bejoy Nambiar,Vikram,Neil Nitin Mukesh
Dayar E Madina,-1975.0,137 min,Drama,7.2,6,A. Shamsheer,Nazima,Tabrez
